Station_ID,Station_Name,Station_Category,lat0,lon0,fE,fN,k0,h0,H0,Undulation,ppm_Max,ppm_Range,ppm_avg,ppm_StdDev
VA_1991,Fuerth-Unterfuerberg,6,49.4761,10.9593,5000,10000,1.0000477,304.5,308.1,46.8,,,,
VA_1992,Fuessen,6,47.5709,10.6993,5000,10000,1.0001242,792.1,797.8,48.3,,,,
VA_1993,Gablingen,5,48.4640,10.8523,5000,10000,1.0000711,453.8,459.6,46.5,,,,
VA_1994,Gadebusch,7,53.7056,11.1224,5000,10000,1.0000054,34.6,34.7,39.6,,,,
VA_1996,Gaggenau,-1,48.8070,8.3209,5000,10000,1.0000218,139.0,141.9,48.6,,,,
VA_1997,Gaggenau Daimler Benz Werk,-1,48.7990,8.3279,5000,10000,1.0000224,142.6,145.4,48.7,,,,
VA_1998,Gaildorf West,6,49.0050,9.7551,5000,10000,1.0000541,345.1,348.2,48.3,,,,
VA_2000,Gaimersheim,6,48.8000,11.3714,5000,10000,1.0000599,381.9,387.1,46.5,,,,
VA_2001,Gaissach,6,47.7379,11.5764,5000,10000,1.0001035,660.3,667.2,46.7,,,,
VA_2002,Gallin,-4,53.5185,12.1306,5000,10000,1.0000100,63.8,64.3,39.6,,,,
VA_2004,Gamburg (Tauber),-4,49.6991,9.5971,5000,10000,1.0000251,160.2,161.8,48.3,,,,
VA_2005,Ganderkesee,6,53.0365,8.5440,5000,10000,1.0000049,31.5,32.2,40.9,,,,
VA_2006,Gangloffsoemmern,7,51.1923,10.9563,5000,10000,1.0000259,165.1,165.9,45.7,,,,
VA_2007,Ganzlin,-1,53.3835,12.2486,5000,10000,1.0000133,84.9,85.5,39.9,,,,
VA_2008,Garbeck,7,51.3223,7.8409,5000,10000,1.0000404,257.5,256.3,47.1,,,,
VA_2009,Garbenteich,6,50.5412,8.7460,5000,10000,1.0000330,210.8,210.7,48.0,,,,
VA_2010,Garching,-4,48.1309,12.5745,5000,10000,1.0000709,452.2,460.1,44.9,,,,
VA_2011,Gardelegen,6,52.5194,11.4064,5000,10000,1.0000072,45.7,47.1,41.7,,,,
VA_2012,Garding,7,54.3286,8.7850,5000,10000,1.0000006,3.5,1.6,39.7,,,,
VA_2013,Bonn-Endenich Nord,6,50.7372,7.0628,5000,10000,1.0000089,56.7,56.7,47.0,,,,
VA_2014,Garmisch-Partenkirchen,3,47.4919,11.0983,5000,10000,1.0001098,700.5,705.8,48.7,-0.9,1.7,0.0,0.4
VA_2015,Gars (Inn),-4,48.1489,12.3005,5000,10000,1.0000664,423.4,431.2,45.0,,,,
VA_2016,Gaertringen,5,48.6420,8.9100,5000,10000,1.0000710,453.0,456.2,48.7,,,,
VA_2017,Markkleeberg-Gaschwitz,5,51.2513,12.3806,5000,10000,1.0000187,119.1,121.1,44.3,,,,
VA_2018,Gatersleben,7,51.8293,11.2924,5000,10000,1.0000172,109.6,110.5,44.0,,,,
VA_2019,Gau Algesheim,4,49.9621,8.0169,5000,10000,1.0000147,93.6,94.3,48.3,,,,
VA_2020,Gau Bickelheim,7,49.8411,8.0209,5000,10000,1.0000183,116.8,117.8,48.4,,,,
VA_2021,Gaubuettelbrunn,6,49.6351,9.8552,5000,10000,1.0000394,251.6,253.4,48.2,,,,
VA_2022,Gauern,-1,50.7942,12.1935,5000,10000,1.0000457,291.8,293.4,45.8,,,,
VA_2023,Gaeufelden,5,48.5610,8.8510,5000,10000,1.0000711,453.5,456.8,48.8,,,,
VA_2024,Gauting,4,48.0719,11.3774,5000,10000,1.0000904,577.0,584.0,46.0,,,,
VA_2026,Gebersdorf,-1,50.5282,11.2714,5000,10000,1.0000834,532.2,533.2,47.1,,,,
VA_2027,Gebra (Hainleite),6,51.4283,10.5963,5000,10000,1.0000369,235.7,235.9,45.8,,,,
VA_2028,Geeste,6,52.5994,7.3128,5000,10000,1.0000032,20.7,20.5,42.6,,,,
VA_2029,Geestgottberg,7,52.9575,11.7385,5000,10000,1.0000031,19.5,20.9,40.5,,,,
VA_2030,Gehlberg,6,50.6852,10.7703,5000,10000,1.0000934,596.2,597.0,47.0,,,,
VA_2031,Gehofen,-3,51.3213,11.3244,5000,10000,1.0000192,122.7,123.4,45.5,,,,
